minutes_to_buy,time_bucket,session_count,avg_order_value
1,0-5분 (즉시 구매),16,196.8
2,0-5분 (즉시 구매),39,203
3,0-5분 (즉시 구매),57,272
4,0-5분 (즉시 구매),93,260.4
5,5-15분 (단기 탐색),97,235
6,5-15분 (단기 탐색),89,253.9
7,5-15분 (단기 탐색),95,391.5
8,5-15분 (단기 탐색),94,339.2
9,5-15분 (단기 탐색),81,399.9
10,5-15분 (단기 탐색),67,290.9
11,5-15분 (단기 탐색),73,380.2
12,5-15분 (단기 탐색),78,554.4
13,5-15분 (단기 탐색),73,422.9
14,5-15분 (단기 탐색),62,461.1
15,15-30분 (중기 탐색),61,491.8
16,15-30분 (중기 탐색),59,390.3
17,15-30분 (중기 탐색),63,548.3
18,15-30분 (중기 탐색),37,356.6
19,15-30분 (중기 탐색),39,625.5
20,15-30분 (중기 탐색),38,632.3
21,15-30분 (중기 탐색),47,687.3
22,15-30분 (중기 탐색),31,565.4
23,15-30분 (중기 탐색),32,511.5
24,15-30분 (중기 탐색),41,626
25,15-30분 (중기 탐색),27,528.4
26,15-30분 (중기 탐색),36,671.6
27,15-30분 (중기 탐색),34,742.1
28,15-30분 (중기 탐색),35,790.7
29,15-30분 (중기 탐색),35,957.8
30,30-60분 (장기 고민),29,891.3
31,30-60분 (장기 고민),30,727.9
32,30-60분 (장기 고민),24,772.7
33,30-60분 (장기 고민),13,1457.8
34,30-60분 (장기 고민),19,1335.4
35,30-60분 (장기 고민),14,857.4
36,30-60분 (장기 고민),21,697.4
37,30-60분 (장기 고민),22,694
38,30-60분 (장기 고민),13,674.5
39,30-60분 (장기 고민),17,975.1
40,30-60분 (장기 고민),13,862
41,30-60분 (장기 고민),12,1053.5
42,30-60분 (장기 고민),12,760
43,30-60분 (장기 고민),17,1121.5
44,30-60분 (장기 고민),9,883.4
45,30-60분 (장기 고민),8,1010.3
46,30-60분 (장기 고민),14,1202.2
47,30-60분 (장기 고민),16,1216.2
48,30-60분 (장기 고민),9,979.1
49,30-60분 (장기 고민),5,748
50,30-60분 (장기 고민),8,626.4
51,30-60분 (장기 고민),11,1593.2
52,30-60분 (장기 고민),8,1228.4
53,30-60분 (장기 고민),3,975
54,30-60분 (장기 고민),8,848.3
55,30-60분 (장기 고민),5,572.4
56,30-60분 (장기 고민),5,725.6
57,30-60분 (장기 고민),4,1347.5
58,30-60분 (장기 고민),3,1562.7
59,30-60분 (장기 고민),3,831.7
60,60분 이상,3,780.7
61,60분 이상,4,854.5
62,60분 이상,11,850.5
63,60분 이상,4,412.8
64,60분 이상,5,8571.2
65,60분 이상,4,3929.5
66,60분 이상,6,576
67,60분 이상,3,993
68,60분 이상,7,1743.7
69,60분 이상,4,1017.5
70,60분 이상,3,1321
71,60분 이상,3,1608.3
72,60분 이상,2,148
73,60분 이상,4,585.5
74,60분 이상,4,969.5
75,60분 이상,2,704.5
76,60분 이상,3,1960
77,60분 이상,2,525.5
79,60분 이상,3,508.3
80,60분 이상,3,1048.7
81,60분 이상,2,638.5
82,60분 이상,3,791.3
83,60분 이상,2,592
86,60분 이상,1,2209
87,60분 이상,4,728.8
88,60분 이상,2,1590
89,60분 이상,1,620
92,60분 이상,2,558
94,60분 이상,1,584
95,60분 이상,1,2006
96,60분 이상,1,1831
98,60분 이상,1,2525
99,60분 이상,1,6726
106,60분 이상,1,838
108,60분 이상,1,1485
111,60분 이상,1,939
117,60분 이상,2,729.5
120,60분 이상,1,1377
127,60분 이상,1,687
128,60분 이상,1,1086
131,60분 이상,1,657
188,60분 이상,1,2370
